"시도별","항목","단위","2009 년","2018 년",
"전 체","평  균[만원]","만원","24.2","29.0776",
"전 체","초등학교[만원]","만원","24.5","26.28773",
"전 체","중학교[만원]","만원","26","31.21036",
"전 체","고등학교[만원]","만원","21.7","32.14451",
"전 체","일반고[만원]","만원","26.9","37.57322",
"서 울","평  균[만원]","만원","33.1","41.11641",
"서 울","초등학교[만원]","만원","30.5","36.47874",
"서 울","중학교[만원]","만원","32.6","41.4629",
"서 울","고등학교[만원]","만원","37.7","48.41787",
"서 울","일반고[만원]","만원","43.3","56.63711",
"부 산","평  균[만원]","만원","20.3","27.62233",
"부 산","초등학교[만원]","만원","19.7","24.13247",
"부 산","중학교[만원]","만원","21.8","31.56772",
"부 산","고등학교[만원]","만원","19.8","30.1512",
"부 산","일반고[만원]","만원","25.1","37.14324",
"대 구","평  균[만원]","만원","25.1","30.25777",
"대 구","초등학교[만원]","만원","25.3","27.73449",
"대 구","중학교[만원]","만원","29.1","33.19051",
"대 구","고등학교[만원]","만원","20.6","31.81403",
"대 구","일반고[만원]","만원","23.5","38.18115",
"인 천","평  균[만원]","만원","22.1","27.65067",
"인 천","초등학교[만원]","만원","23.1","24.50348",
"인 천","중학교[만원]","만원","21.3","29.97248",
"인 천","고등학교[만원]","만원","21.1","31.44535",
"인 천","일반고[만원]","만원","25.3","38.90269",
"광 주","평  균[만원]","만원","20.9","26.1849",
"광 주","초등학교[만원]","만원","23","25.2238",
"광 주","중학교[만원]","만원","22.8","31.0144",
"광 주","고등학교[만원]","만원","15.1","23.69352",
"광 주","일반고[만원]","만원","18.5","26.99776",
"대 전","평  균[만원]","만원","23.4","27.01795",
"대 전","초등학교[만원]","만원","24.9","23.97814",
"대 전","중학교[만원]","만원","21.7","29.25578",
"대 전","고등학교[만원]","만원","22.5","30.22442",
"대 전","일반고[만원]","만원","26.8","35.70222",
"울 산","평  균[만원]","만원","23.4","26.4892",
"울 산","초등학교[만원]","만원","25.1","25.05466",
"울 산","중학교[만원]","만원","24.7","29.13876",
"울 산","고등학교[만원]","만원","19","26.80742",
"울 산","일반고[만원]","만원","23.1","31.43445",
"세 종","평  균[만원]","만원","","28.80851",
"세 종","초등학교[만원]","만원","","26.1553",
"세 종","중학교[만원]","만원","","33.44011",
"세 종","고등학교[만원]","만원","","31.06323",
"세 종","일반고[만원]","만원","","32.33339",
"경 기","평  균[만원]","만원","26.9","32.07871",
"경 기","초등학교[만원]","만원","27.8","28.19207",
"경 기","중학교[만원]","만원","29.3","33.2055",
"경 기","고등학교[만원]","만원","22.5","38.49286",
"경 기","일반고[만원]","만원","28.1","42.86757",
"강 원","평  균[만원]","만원","18.4","20.48667",
"강 원","초등학교[만원]","만원","18.8","18.94609",
"강 원","중학교[만원]","만원","23.3","25.47007",
"강 원","고등학교[만원]","만원","12.4","18.77199",
"강 원","일반고[만원]","만원","16.4","21.50446",
"충 북","평  균[만원]","만원","17.3","24.41035",
"충 북","초등학교[만원]","만원","17.4","22.54349",
"충 북","중학교[만원]","만원","20.8","29.12465",
"충 북","고등학교[만원]","만원","13.5","23.62354",
"충 북","일반고[만원]","만원","17.5","30.72985",
"충 남","평  균[만원]","만원","18.7","18.67345",
"충 남","초등학교[만원]","만원","22","17.74263",
"충 남","중학교[만원]","만원","19.3","20.21249",
"충 남","고등학교[만원]","만원","11.8","19.05108",
"충 남","일반고[만원]","만원","14.7","22.15558",
"전 북","평  균[만원]","만원","15.7","20.94844",
"전 북","초등학교[만원]","만원","15.7","19.61178",
"전 북","중학교[만원]","만원","18.3","24.49275",
"전 북","고등학교[만원]","만원","12.7","20.14985",
"전 북","일반고[만원]","만원","17.5","23.89723",
"전 남","평  균[만원]","만원","16.3","19.02801",
"전 남","초등학교[만원]","만원","16.3","19.05539",
"전 남","중학교[만원]","만원","20.8","22.01548",
"전 남","고등학교[만원]","만원","11.6","16.55939",
"전 남","일반고[만원]","만원","13.2","21.0478",
"경 북","평  균[만원]","만원","19.7","21.40685",
"경 북","초등학교[만원]","만원","22.5","20.36665",
"경 북","중학교[만원]","만원","22.4","26.41569",
"경 북","고등학교[만원]","만원","11.9","19.04911",
"경 북","일반고[만원]","만원","16.1","22.69186",
"경 남","평  균[만원]","만원","21.3","22.61935",
"경 남","초등학교[만원]","만원","22.5","22.26804",
"경 남","중학교[만원]","만원","24.8","22.56535",
"경 남","고등학교[만원]","만원","15.4","23.32218",
"경 남","일반고[만원]","만원","18.5","26.24096",
"제 주","평  균[만원]","만원","18.1","23.1977",
"제 주","초등학교[만원]","만원","17.7","21.51141",
"제 주","중학교[만원]","만원","24.7","28.17247",
"제 주","고등학교[만원]","만원","11.5","21.84957",
"제 주","일반고[만원]","만원","16.9","25.52944",
